kana,hina,romaji,english,explanation
ズイッ,ずいっ,zui,(1) *stare* *intense* *serious*;(2) *thrust* *slide* *hands*;(3) *thrust* *shove* *push*,"(1) To look at someone or something intensely;(2) SFX for handing something over to another person, in an almost surprising or sudden manner (like a 'tah-dah' moment);(3) SFX for roughly handing something over"
ズキ,ずき,zuki,*sharp pain*,
ズキズキ,ずきずき,zuki zuki,*throb throb*,Can be mental or physical.
ズキン,ずきん,zukin,*throb* *sting*,Can be mental or physical pain.
ズキンズキン,ずきんずきん,zukin zukin,*throb throb**sting sting*,"SFX for pain.  Slightly heavier than *zuki zuki,* usually more of a physical throb than a mental one."
ズクッ,ずくっ,zuku,*bam* *ka-boom* *ka-bam* *boom* *blam*,Sound of an explosion.
ズモ,ずも,zumo,*menace* *looming*,
ズモモモ,ずももも,zumomomo,*menace* *looming*,
ズン,ずん,zun,(1) *vigorous motion*;(2) *thump*,(2) Like thumping of strings on string instrument (staccato).
ズンズン,ずんずん,zun zun,(1) *thud thud thud*,(1) When one walks very fast ahead;(2) Very vigorous motion.
ズングリ,ずんぐり,zunguri,*chubby* *big* *dumpy*,
ズポッ,ずぽっ,zupo,*zwp**falls*,SFX for someone or something suddenly falling into a hole.
ズラリ,ずらり,zurari,(1) *next to**alongside**beside**side by side*;(2) *parallel**aligned*straight beside*,"(1) Ex: a row of products displayed behind a store window;(2) Ex: parking a car next to another car, parallel to each other."
ズリ,ずり,zuri,(1) *stagger*;(2) *fall back in shock* *slip*,(1) Stagger when walking;(2) See also *gura*.
ズリズリ,ずりずり,zuri zuri,*drag*,
ズリリ,ずりり,zuriri,(1) *stagger*;(2) *fall back in shock*,(1) Stagger when walking;(2) See also *gura*.
ズル,ずる,zuru,(1) *slip*;(2) *sip* *slurp*;(3) *drag* *pull*;(4) *stagger*;(5) *fall back in shock*;(6) *strong movement*;(7) *being slipped*,(1) Something slipping out of place physically or consciously;(2) See also *zuzu*;(3) Something heavy dragging or being pulled;(4) Stagger when walking;(6) More vigorous than *suru*.
ズルッ,ずるっ,zuru,(1) *slip*;(2) *drag* *slide*;(3) *slurp*,"(2) SFX for pulling, pushing, or rubbing something along the surface of the floor;(3) SFX for slurping a straw."
ズルズル,ずるずる,zuru zuru,(1) *drag*;(2) *freely**loosely**wherever**dally**without a care*;(3) *slurp slurp*;(4) *slip slide*,"(1) Something heavy dragging or being pulled;(2) Ex: a cold runny nose running freely, or eating soup noisily and without care for the surroundings;(3) SFX for a sucking or slurping motion, like when eating noodles very fast"
ズルル,ずるる,zururu,*slurp*,See *jururu*.
ズササ,ずささ,zusasa,*quick vigorous motion* *scuttle*,*zu* (vigorous) plus *sasa* *quick motion*; a quick scuttling recoil.
ズシャ,ずしゃ,zusha,(1) *slide*;(2) *slash*,"(1) Sound of something sliding;(2) Someone slashing another with a sword, or whip-like motion."
ズシン,ずしん,zushin,*shud*,"Hard impact, harder than *dosun* or *patan*."
ズタズタ,ずたずた,zuta zuta,*torn to bits* *worn out* *total wreck*,
ズッタン,ずったん,zuttan,*left right**back and forth**in and out**dancing*,Movement for dancing or jamming to the beat of some music.
ズウン,ずうん,zuun,(1) *zziipp* *slash*;(2) *jab* *stab* *slash*;(3) *bam*;(4) *doom* *gloom*,"(1) SFX for a direct hit, usually with a whip-like tool or weapon;(2) SFX for a direct hit, usually with a whip-like tool or weapon;(3) SFX for a direct hit, usually with a whip-like tool or weapon;(4) SFX for depression."
ズヴァ,ずゔぁ,zuva,*slash* *shaa* *fushaa*,"SFX for getting cut or sliced, and bleeding profusely."
ズヨーン,ずよーん,zuyo-n,*goom* *depressed*,SFX for getting extremely upset or a feeling of doom sets in.
ズザッ,ずざっ,zuza,(1) *squeal* *skree* *screech*;(2) *skid*,"(1) SFX for the squealing of tires;(2) SFX for something struggling for traction, such as when jamming on the brakes of a car"
ズザザ,ずざざ,zuzaza,(1) *fwwshhh**vssshhh**rrruummmbleee*;(2) *sliiide* *fall* *tumble*,"(1) Large movement, like a typhoon or huge storm.See also *zazaza* (ザザザ);(2) A powerful fall."
ズゾ,ずぞ,zuzo,(1) *slurp*;(2) *slip*,"(1) SFX for a sucking or slurping motion, like when slurping noodles very fast;(2) SFX for something slippery that's sliding very fast"
ズゾー,ずぞー,zuzo-,*slip* *slide* *slip-n-slide*,SFX for when one is falling or tripping.
ズズー,ずずー,zuzu-,*siiip*,SFX for drinking something enthusiastically.
ズズイ,ずずい,zuzui,*shove* *overflow* *crowd* *thrust*,To present something in excess.
セッセ,せっせ,sesse,*quick quick*,To do something quickly and efficiently.
セッセト,せっせと,sesseto,*working steadily*,
ゼッ,ぜっ,ze,*wheeze* *gasp*,
ゼーゼー,ぜーぜー,ze-ze-,*pant pant* *wheeze wheeze*,
ゼエ,ぜえ,zee,*wheeze* *gasp*,
ゼェーゼェー,ぜぇーぜぇー,zee- zee-,*pant pant* *puff puff*,"SFX for being very exhausted, out of breath."
ゼヒッゼハッ,ぜひっぜはっ,zehizzeha,*huff huff* *wheeze*,SFX for heavy breathing after running a long time.
ゼイ,ぜい,zei,*wheeze* *gasp*,
ソッ,そっ,so,(1) *holds out* *hold* *here*;(2) *reach*,(1) To present something to someone else;(2) SFX for extending one's hand to touch something or someone.
ソー,そー,so-,(1) *sneaky* *tip toe*;(2) *slide* *whoosh*,
ソックリ,そっくり,sokkuri,*the same**alike**similar**exactly alike*,"Ex: ""That sounds just like my mom""Ex: ""Exactly like a thief""Ex: ""This bag looks exactly like my old one"""
ソロソロ,そろそろ,soro soro,(1) *soon**it's time**time to go*;(2) *slowly*,"(1) Usually used when announcing that it's time to do something, or ""it's about time to ___"".Often used in everyday speech: 「そろそろ時間だ」.(2) To perform an action with care and/or patience.Ex: To walk slowly because one foot is in a cast."
ソロリソロリ,そろりそろり,sorori sorori,*tip toe tip toe**sneak sneak*,SFX for sneaking away or sneaking by very carefully.
ソリャ,そりゃ,sorya,(1) *grunt*;(2) *yell*,"(1) Same with オリャ (Oriya), a grunt type SFX before performing physical tasks;(2) What to yell as you attack, a fighting taunt or war cry; see also *dorya*, *ora*, *orya*, and *uraa*."
ソソクサ,そそくさ,sosokusa,*sneak away*,"To leave the scene quickly, usually to avoid conflict or further troubles, or because of the intensity of the atmosphere."
ソット,そっと,sotto,(1) *gently**lightly*;(2) *slip**quietly*,"(1) To handle something with care.Ex: ""He held the wine glass gently in his fingertips"";(2) To make a swift, and unnoticed exit."
ソウカ,そうか,souka,*aha*,"Realization of something.  Derived from the phrase ""I see"" or 「そうですか」."
ソワ,そわ,sowa,*fidget*,
ソワソワ,そわそわ,sowa sowa,(1) *restless*;(2) *nervous*;(3) *twinge twinge*,(3) SFX for that feeling felt when you have to use the bathroom.
ソヨソヨ,そよそよ,soyo soyo,*breeze breeze**fwoosh fwoosh**fwosh*,"SFX for a very gentle, light breeze."
ゾーン,ぞーん,zo-n,*rumbling* *shaking*,
ゾクッ,ぞくっ,zoku,*shudder* *chill*,
ゾクゾク,ぞくぞく,zoku zoku,*shake shake**tremble tremble**shudder shudder*,SFX for shuddering or trembling from fright or cold.
ゾリ,ぞり,zori,(1) *shave*;(2) *scrape*;(3) *crackle*,"(1) SFX for shaving hair;(2) SFX for the friction of something with a rough texture;(3) SFX for the friction of rough texture, like burnt food"
ゾロッ,ぞろっ,zoro,*lined up* *crowd*,"SFX for a gathering of people, with extra emphasis on large numbers of people being in a rush or hurry to get something."
ゾロゾロ,ぞろぞろ,zoro zoro,*in droves*,When subjects come in large numbers.  Usually used to explain a huge crowd gathering.
ゾット,ぞっと,zotto,*chill* *shiver*,See also *chiri*.
ゾワ,ぞわ,zowa,*shiver* *shudder*,"SFX for a trembling notion, like shivering from fear or shuddering from disgust."
ダッ,だっ,da,*charge**dash**run*,"To charge forward, usually in an aggressive manner; making a run for it."
ダー,だー,da-,(1) *dash*;(2) *doh*,(1) SFX for running away from something
ダーア,だーあ,da-a,*running away*,"See also *ta*, *dododo*, and *tatata*."
ダアッ,だあっ,daa,*dash*,SFX for running away from something.
ダアアン,だああん,daan,*smash* *crash*,SFX usually used for fight scenes.
ダボダボ,だぼだぼ,dabo dabo,*too big**huge**oversize*,
ダブダブ,だぶだぶ,dabu dabu,(1) *baggy*;(2) *loose*;(3) *flabby**flappy*,"(1) Ex: large pants that are too baggy;(2) Ex: large pants that are too baggy;(3) Ex: belly fat, extra loose meat."
ダダダ,だだだ,dadada,*running away**tmp tmp tmp**thud thud thud*,"SFX for fast running.  See also *ta*, *dododo*, and *tatata*."
ダダダー,だだだー,dadada-,*hugs hugs*,
ダダン,だだん,dadan,*crash*,A bunch of people knocking into each other.
ダカカッ,だかかっ,dakaka,*clip clop clip**clop clip clop*,SFX for a galloping horse.
ダキ,だき,daki,*hugs*,
ダンッ,だんっ,dan,(1) *smash*;(2) *smash* *whack* *chop*,(1) Smashing/crashing into a wall;(2) SFX for cutting something with great enthusiasm
ダン,だん,dan,(1) *bang* *boom* *bam*;(2) *push*;(3) *whack*;(4) *thunk* *thud*,(1) Sudden impact.
ダンダン,だんだん,dan dan,(1) *bam bam*;(2) *slowly but surely*;(3) *thunk thunk*,"(3) Like the bouncing of a ball, something rhythmic."
ダラ,だら,dara,(1) *dripping*;(2) *drip* *ooze*,"(1) Continuous sweat dripping, usually when put on the spotlight or super nervous.See also *Dara dara*;(2) Slow dripping sound."
ダラダラ,だらだら,dara dara,(1) *slush*;(2) *sluggish*;(3) *dripping**drip drip*;(4) *laze laze* *lazy**laze around*,"(1) More like pouring off a waterfall;(2) One being very lazy and doing nothing;(3) Continuous dripping of thick liquid, like blood, sweat, saliva drool; see also *jo*, *jururu*, and *zururu*."
タッ,たっ,ta,(1) *run* *step* *tap* *da*;(2) *jump*,(1) SFX for footsteps when running.
ター,たー,ta-,*dashing* *running*,"See also *da*, *dododo*, and *tatata*."
ター！,たー！,ta-,*roar!**haaaahhh!!*,War-cry
タビタビ,たびたび,tabi tabi,*often* *repeatedly*,
タマタマ,たまたま,tama tama,*occasionally*,"Derived from the adverb ""occasionally"" or 「たまに」."
タン,たん,tan,(1) *tap*;(2) *lands*,(1) Like in tap-dancing.
タンッ,たんっ,tan,*thunk* *thok*,A lighter form of *thud*.  A muffled sound of impact.
タノモーッ,たのもーっ,tanomo,*PLEASE WAIT!!**FORGIVE THE INTRUSION!*,"It's a heavily-accented ""tanomu"" or ""頼む"".To request; to beg; to ask.To call; to order; to reserve.The humor might be lost in translation.  It's like ""PUHLEAASSE"" but emphasized in a very humble, cute, funny way."
タップリ,たっぷり,tappuri,*plenty**enough**full**a lot**rich*,"Ex: ""Plenty of time""Ex: ""Pan full of water""Ex: ""Enough confidence to do a speech""Ex: Someone wearing more than enough clothing (i.e. a huge jacket in the middle of summer)"
タラタラ,たらたら,tara tara,*sweating*,SFX for perspiration.
タラリラリー,たらりらりー,tarari rari-,*tweedle dee*,"Enjoying sound of music-making, like a violinist playing something."
タタタ,たたた,tatata,(1) *running lightly**fast pace**quickly**fast walk*;(2) *tap tap tap* *step step step*;(3) *scuttling*,
タッタッタッ,たったったっ,tattatta,*tap tap tap**thud thud**jog jog**trot trot*,SFX for jogging or running.
チャッ,ちゃっ,cha,*ka-sha**ker-chak**shing**sha*,"SFX for a metallic sound, like when sheathing or unsheathing knives or blades."
チャント,ちゃんと,chanto,*properly**perfectly**well done*,"Usually used in a patronizing tone, Ex: ""Did you do your homework properly?""Often used in everyday speech."
チャポン,ちゃぽん,chapon,*plunk* *splash*,Water sound.  See also *shapu*.
チャポンチャポン,ちゃぽんちゃぽん,chapon chapon,*splosh splosh**shplosh shplosh**splash splash*,SFX for being in water.
チャプ,ちゃぷ,chapu,*dip* *plunk*,Into water.  See also *shapu*.
チャラ,ちゃら,chara,(1) *clatter*;(2) *jingle*,"(2) SFX for a light tinkling, bell-like sound.  Can be mechanical, like a ""ding"" sound from a video game."
チャラチャラ,ちゃらちゃら,chara chara,(1) *rattle* *clatter*;(2) *jingle*;(3) *attractive* *nice*;(4) *flirt*;(5) *fawn* *flatter*,"(1) See also *bara bara* and *gara gara*;(2) SFX for a light tinkling, bell-like sound.  Can be mechanical, like a ""ding"" sound from a video game;(3) SFX for dressing in a manner that attracts attention;(4) SFX for being flirtatious in terms of dress and manner;"
チャランポラン,ちゃらんぽらん,charan poran,(1) *irresponsible**doesn't care**apathetic**oh well*;(2) *off-hand**carelessly*,(1) SFX that characterizes a personality;(2) SFX for speech or hand motions
チャリーン,ちゃりーん,chari-n,*jingle* *ching*,SFX for sound of coin(s) falling.
チッ,ちっ,chi,(1) *damn*;(2) *tweet*,"(1) Damn it; a tongue click;(2) Sound of birds, like perched in a row on a phone line."
チッ,ちっ,chi,(1) *startled*;(2) *turns away* *looks away*,(1) SFX for getting caught by surprise;(2) SFX for getting caught staring and looking away hurriedly
チチ,ちち,chi chi,(1) *high shrill noise*;(2) *chirping*,
チッチッチ,ちっちっち,chi chi chi,(1) *tick tick tick*;(2) *non-non-non*;(3) *come come**come here*;(4) *chirp chirp*,(1) Ticking of a clock;(2) Like humming a tune;(3) How you call a cat;(4) SFX for the chirping of a bird.
チーーン,ちーーん,chi--n,(1) *ching ching*;(2) *ping!* *ching!*,"(1) Sound of a small bell ringing, usually a Buddhist chime before prayers;(2) SFX for microwave stopping."
チーン,ちーん,chi-n,*ding* *bing*,Sound of a bell.
チカチカ,ちかちか,chika chika,(1) *flick flick**lights flickering*;(2) *eyes tired*;(3) *sparkle sparkle*,"(1) Can be light from the stars, see also *pika pika*;(2) Eyes getting tired from staring at computer or TV;(3) Like a ""wow"" effect from a revealing moment, or exposure to a glittery wonderland."
チックタック,ちっくたっく,chikku takku,*tick tack**tick tock**hickory dickory dock*,"Sound of clock, almost in a rhythmic sing-song way."
チクッ,ちくっ,chiku,*prick* *sting*,"SFX for a light prickly painful sensation, like when getting pricked with a needle or burr."
チクチク,ちくちく,chiku chiku,*itch itch* *prickle*,A pricking pain.
チマチマ,ちまちま,chima chima,*slowly* *fiddly* *little by little*,SFX to explain someone doing a task too slowly or a little by little when it can be done a lot faster and more efficiently.
チン,ちん,chin,*ting* *ding*,Like the sound of a bell or chime; can be analogous or mechanical.
チンッ,ちんっ,chin,*clang* *cling**ding* *chink*,"SFX for a light metallic sound, can be mechanical."
チンチン,ちんちん,chin chin,*clangity clang*,Like the sound of a tram passing by.  See also *gatan goton*.
チンパンカンプン,ちんぱんかんぱん,chinpankanpun,*clueless*,
チラッ,ちらっ,chira,*glance**peek*,"A quick and momentary, quick glance."
チラ,ちら,chira,*glance*,"A quick look, or momentarily catching something in sight."
チラチラ,ちらちら,chira chira,*glance glance*,Usually quickly and momentary.
チラホラ,ちらほら,chira hora,*flutter flutter*,"SFX for something falling lightly, like snowflakes falling gently through the atmosphere."
チラリ,ちらり,chirari,*quick sideways glance*,
チリ,ちり,chiri,*smirk* *heh*,"SFX for a sardonic, sarcastic grunt or grin."
チリチリ,ちりちり,chiri chiri,(1) *crisp* *burnt* *black*;(2) *heat* *cold shiver*;(3) *crackle crackle* *crackle pop*,"(1) Something almost burning or slightly burnt;(2) Tingle of heat, shiver of cold; see also *zoku* for shiver;(3) When something is burning, similar to the sounds made by an active fireplace."
チリン,ちりん,chirin,*ching ching*,"Sound of chime, like on a bicycle."
チロン,ちろん,chiron,*quick sideways glance*,
チロリ,ちろり,chirori,*glance*,See also *chira*.
チル,ちる,chiru,*lick*,
チヤホヤ,ちやほや,chiya hoya,*being spoiled*,To be spoiled by everyone.
チョイッ,ちょいっ,choi,*fsh* *fwip* *shwip*,"A white-noise type SFX for something appearing, existing, or a movement."
チョキチョキ,ちょきちょき,choki choki,*cut cut**chop chop**snipping*,
チョコチョコ,ちょこちょこ,choko choko,(1) *now and then*;(2) *little by little*,
チョコマカ,ちょこまか,choko maka,*dash dash* *here and there*,To move around hastily here and there.
チョコン,ちょこん,chokon,(1) *a little bit*;(2) *small and cute*; *small and quiet*(3) *sit*,
チョコンッ,ちょこんっ,chokon,*silent*,
チュッ,ちゅっ,chu,(1) *kiss*;(2) *suck*,(1) See also *nchu* and *uchu*;(2) As through a straw.
チュー,ちゅー,chu-,(1) *squeak*;(2) *suck*,(1) Like sound of frightened mouse;(2) From a straw and the like;(3) The sound of a kiss
チュイイン,ちゅいいん,chuiin,(1) *spinning*;(2) *cutting into clothes*,
チュン,ちゅん,chun,*chirp*,SFX for the sound of little birds.
チュンチュン,ちゅんちゅん,chun chun,*chirp chirp*,See also *pii pii* for *peep peep*.
チュルッ,ちゅるっ,churu,*slurp*,Like slurping noodles.
チュルチュル,ちゅるちゅる,churu churu,*slurp slurp**sip sip*,"SFX for a light, quieter kind of slurping, almost feminine."
チュウチュウ,ちゅうちゅう,chuu chuu,*squeak squeak*,"SFX for an animal-like, high-pitched sound."
ヂーッ,ぢーっ,ji-,*staare*,"SFX for staring, or looking at something/someone for a long period of time."
ツー,つー,tsu-,*bzzz*,Insect sound.
ツーン,つーん,tsu-n,*odor*,"An awful odor, usually sour-ish that makes you cry.  Compare with プーン (Pu-n)."
ツーツーツー,つーつーつー,tsu-tsu-tsu,*beep beep beep*,Like when the phone line is busy.
ツブ,つぶ,tsubu,*eyes close*,Eyes (and only eyes) closing.
ツブツブ,つぶつぶ,tsubu tsubu,*freckly*,SFX for little freckle-type things.
ツカツカツカ,つかつかつか,tsuka tsuka tsuka,*thud thud thud*,Same notion as *suta suta suta* with an emphasis on being ignorant or prideful.
ツンツン,つんつん,tsun tsun,(1) *pinch pinch* *tug tug* *poke poke*;(2) *stinky*;(3) *prim* *demure**standoffish* *stuck-up**proud-looking*;(4) *sulky* *sullen* *morose*,(2) Bad-smelling.  See also *pun pun*.
ツル,つる,tsuru,(1) *slip*;(2) *sliding* *slippery*,(1) As in falling;(2) Also used for something smooth or slick.See also *suru* 「スル」.
ツルッ,つるっ,tsuru,*slip*,"SFX for covert, sneaky movement."
ツルッ,つるっ,tsuru,(1) *slip* *slide*;,SFX for slipperiness.
ツルツル,つるつる,tsuru tsuru,(1) *smooth to the touch*;(2) *slippery*,"(1) Ex: Smooth skin;(2) Ex: slippery floor, frozen and icy roads."
ツルン,つるん,tsurun,*sliding*,Also used for something smooth or slick.
ツルンツルン,つるんつるん,tsurun tsurun,*slippery*,
ツツツ,つつつ,tsutsutsu,*sliding*,
ツヤツヤ,つやつや,tsuya tsuya,*shiny* *glow*,In a sense that it is not deliberately polished (like *pika pika*).
デブーン,でぶーん,debu-n,*heavy sigh**siiigh**sigh*,Ex: SFX for a deep breath of exasperation or exhaustion.
デブフーン,でぶふーん,debufu-n,*snort wheeze**wheeze*,SFX for a nasal exhaling sound.
デコボコ,でこぼこ,deko boko,*bumpy*,
デレ,でれ,dere,*clumsy*,When you become clumsy because you see someone gorgeous.
デレデレ,でれでれ,dere dere,(1) *really clumsy*;(2) *sloppy* *loose*,"Super clumsy because you see someone gorgeous.  To go goofy over someone, to fawn."
デヴー,でゔー,devu-,*looms over**suddenly**scary*,"SFX for something big approaching or hovering or covering something.  May be used to emphasize a dramatic effect, such as fear and danger.Ex: A looming figure."
テヘ,てへ,tehe,(1) *tee hee* *giggle* *hehe*;(2) *oops?*,A state when you are slightly embarrassed.
テヒ,てひ,tehi,*tee-hee*,Giggle.
テカテカ,てかてか,teka teka,*shining brightly*,"Commonly used to describe a person's bald head, as well as greasy hair."
テケテケ,てけてけ,teke teke,*trot trot* *toddle toddle*,Usually by small characters.
テコテコ,てこてこ,teko teko,*step step* *walks out* *tmp tmp*,"SFX for light footsteps, or somewhat hesitant footsteps."
テクテク,てくてく,teku teku,*twat twat**trot trot**walk walk**toddle toddle**footsteps**trudge*,At a moderate pace.
テンテンテンマリテンテマリ,てんてんてんまりてんてまり,tententen mariten temari,*song*,Traditional song to accompany the bouncing of a ball.
テレ,てれ,tere,*embarrassed* *abashed*,"Embarrassed in a happy way, like when you're asked out on a date by someone you like you go ""tere""."
テテテ,ててて,tetete,*run run run*,Ex. Trying to catch up with someone.
テッテッテ,てってって,tettette,*trot trot trot*,Usually when you're following someone.
ド,ど,do,(1) *burst*;(2) *piercing*;(3) *bang* *bam**boom*;(4) *pow*,"(3) SFX for small explosion;(4) SFX for missile ejection, like a bullet being shot from a gun"
ドッ,どっ,do,(1) *laughter* *sudden laughter*;(2) *big impact*;(3) *heartbeat*;(4) *burst* *boom*;(5) *thud*;(6) *stomp* *slam*;(7) *slump* *guhh*,"(1) - (2) By a crowd, whereas *Buwa* would be for a single person;(3) The loudest kind! See also *doki doki*, *dokun*, and *tokun*;(4) SFX for an explosion;(7) SFX for a sudden, dramatically heavy atmosphere or change in tone (usually for dramatic or comedic effect)"
ドーン,どーん,do-n,(1) *doom*;(2) *ta-dah* *tah-dah* *ta-da*;(3) *kablooey*,(3) SFX for an explosion
ドアッ,どあっ,doa,*dash* *runs* *shoom*,"SFX for a sudden burst of speed, usually when a character makes a run for it."
ドアシャアッ,どあしゃあっ,doashaa,*crash* *smash*,SFX for small explosion or a bunch of things falling all over the place.
ドバ,どば,doba,(1) *splosh*;(2) *slash*,(1) When you pour a lot of liquid in one go.
ドビ,どび,dobi,*miss*,A missed kick.
ドビチッ,どびちっ,dobichi,*thunk* *bop* *bonk*,"SFX for something being struck against another object, a light pounding sound."
ドビクッ,どびくっ,dobiku,*thunk* *thump* *strike*,Light hitting motion...more in an affectionate/scolding way.  Ex: lightly smacking someone on the head for doing something stupid.
ドボン,どぼん,dobon,*plop*,Light splashing into water.
ドチャ,どちゃ,docha,*charge*,To race towards or dash forward; like the vanguard of an army or attack.
ドチャーッ,どちゃーっ,docha-,*splash*,
ドド,どど,dodo,(1) *pow pow* *bang bang*;(2) *boom boom* *bam bam*;(3) *thud thud* *stomp stomp*,"(1) SFX for shooting missiles from a weapon, or several small to medium explosions at once;(2) SFX for several small explosions at once;(3) SFX for stepping or running towards something with force and anger"
ドドーン,どどーん,dodo-n,*tada* *ta-dah* *tah-dah*,"SFX for a great ""reveal"" moment."
ドドド,どどど,dododo,(1) *whrrr**fwump fwump*;(2) *galloping* *marching* *rumble*;(3) *dash*;(4) *vroom* *vrrooom*,"(1) A whirring or spinning noise, ex. a helicopter hovering over a ship;(2) Sound of marching, or several horses running together;(4) SFX for a mechanical sound, like the revving of a motorcycle engine."
ドドド,どどど,dododo,(1) *thud thud thud* *stampede*;(2) *heavy footsteps*;(3) *pow pow pow*,(1) Sound of many people running; a herd;(2) Heavy footsteps running;(3) Quick punches.
ドドオッ,どどおっ,dodoo,*smash* *crash*,SFX for a big explosion.
ドギマギ,どぎまぎ,dogi magi,*flustered*,
ドゴッ,どごっ,dogo,*ker-thump* *ker-bonk* *bonk*,SFX for a light impact.
ドグ,どぐ,dogu,*impact*,
ドヒュッ,どひゅっ,dohyu,*ka-whoosh* *fa-whoosh*,A combo SFX of *whoosh* for something moving very fast through the air.
ドカッ,どかっ,doka,(1) *bump* *thump*;(2) *bam*;(3) *smack* *whack*;(4) *punch* *hit* *kick*;(5) *thud* *strike*;(6) *stomp*,"(1) Into someone in a rough way;(2) To put something down roughly (something big);(6) In a very presumptuous, annunciative manner."
ドカ,どか,doka,*stomp* *kick*,SFX for striking someone or something with one's foot.
ドカドカ,どかどか,doka doka,(1) *thud thud*;(2) *smack whack*;(3) *kick kick*,(1) To walk into someone's property arrogantly.
ドキッ,どきっ,doki,*heart thump**thump* *ba-dump*,Usually for love situations or when scared.See also *doki* (ドキ) and *doki doki* (ドキドキ).
ドキ,どき,doki,*thump**heart-thump*,Usually for love situations or when scared.See also *doki* (ドキッ) and *doki doki* (ドキドキ).
ドキドキ,どきどき,doki doki,*heart thump heart thump**ba-dump ba-dump**pit-a-pat*,"SFX for a love situation or scared, in a continuous stream/motion; SFX for an anxious heartbeat."
ドキン,どきん,dokin,*heart thump**thump* *ba-dump*,A heavier notion that *doki*
ドッカーン,どっかーん,dokka-n,*kawah----m**kaboom*,"SFX for a huge explosion, such as a volcanic explosion."
ドッカン,どっかん,dokkan,ka-boom! boom!,
トッキン,とっきん,dokkin,*th-thump* *tha-dump* *thadump* *ba-dump*,See also *bakkun*.
ドックン,どっくん,dokkun,*heavy heartbeat*,
ドコッ,どこっ,doko,*ker-pow**ka-pow*,A 2-part sound effect to emphasize a punching or explosive and powerful impact.
ドコイショ,どこいしょ,dokoisho,*here we go* *off we go* *up we get*,"A grunt which one says when they are about to perform a task especially if it's a physical task, and they don't want to do it.  Like ""here we go""; see also ヨッコラセ (Yokkorase), アラヨット (Arayotto)."
ドクドク,どくどく,doku doku,*gushingly* *profusely*,"SFX for gushing, running off (thick liquid)."
ドクン,どくん,dokun,(1) *heart thump* *ba-dump* *heartbeat*,"(1) A hard heart beat, see also *doki* and *tokun*."
ドキャーン,どきゃーん,dokya-n,*surprise* *whoa*,SFX to express extreme surprise or shock.
ドキュン,どきゅん,dokyun,(1) *bang*,(1) Like  a bullet from a gun.
ドムドム,どむどむ,domu domu,*bounce bounce*,"SFX for the bouncing of a ball, like in basketball."
ドンッ,どんっ,don,(1) *punch*;(2) *thud* *bam*;(3) *scared*;(4) *doom* *scary*(5) *shove*,"(1) SFX for fighting;(2) SFX for bumping into something or someone;(4) SFX for a scary scene, used for dramatic or exaggerated effect"
ドン,どん,don,(1) *bang* *boom*;(2) *push away*;(3) *big impact* *blast*;(4) *astonish* *tada* *ta-da*;(5) *tap*;(6) *thump* *bang* *whump*;(7) *thud*;(8) *bump*,"(4) Sometimes added to a scene for dramatic effect, to show that something astonishing or important has happened, see also *ban*."
ドンドン,どんどん,don don,(1) *quickly**fast**rapidly*;(2) *more and more*;(3) *steadily*;(4) *bang* *beat*,(2) Ex: Attitude growing increasingly worse; Often used as a regular vocabulary word in everyday speech;(3) Ex: To continue unerringly through a jungle without stopping;(4) See also *ton ton*.
ドンドンドン,どんどんどん,don don don,(1) *knock knock*;(2) *bam bam bam*,(1) SFX for knocking heavily on a door.
ドォ,どぉ,doo,*ta-dah* *tada* *da-dah*,In an annunciative or revealing moment (can be sarcastic and humorous).
ドォォン,どぉぉん,doon,(1) *doom*;(2) *boom*,"(1) SFX for added drama, usually to emphasize dire circumstances;(2) SFX for a loud, shattering explosion"
ドオオンッ,どおおんっ,dooon,(1) *da-booom* *ka-boom*;(2) *depressed* *gloom*,(1) SFX for an explosion;(2) SFX for emotional depression (often exaggerated)
ドオオン,どおおん,dooon,(1) *BAM* *EXPLOSION* * *KABOOM*;(2) *ba-ba-bam!* *ba bam*,"(1) SFX for something with a huge impact, usually something to do with the surrounding environment;(2) Another SFX for *ta-dah*"
ドピュ,どぴゅ,dopyu,(1) *spurt*,"(1) Spurting, such as blood."
ドロッ,どろっ,doro,(1) *muddy*;(2) *melty* *drip* *glup*,
ドロドロ,どろどろ,doro doro,(1) *muddy*;(2) *melty**ooze ooze*,"(2) SFX for something viscous flowing, such as lava flowing."
ドローン,どろーん,doro-n,(1) *sticky* *thick*;(2) *doomed* *upset* *gloomy*;(3) *gloomy*,(1) Texture;(2) When one is very down;(3) Haunted house sense.
ドロン,どろん,doron,*transform*,"Sound of magical transformation, see also *bon*, *pon*, and *pom*."
ドロンパ,どろんぱ,doronpa,*woshka*,"SFX for ghostly, magical transformation, Ex. Doronpa in Obake no Q-taro.See also *bon*, *pon*, and *pom*."
ドルン,どるん,dorun,*vroom* *roar* *rumble*,SFX for the roar of an engine.
ドリャァー,どりゃぁー,dorya-,*yell*,"A war cry.  See also *ora*, *orya*, *sorya*, and *uraa*."
ドサッ,どさっ,dosa,(1) *collapse* *fall*;(2) *thump*,Collapsing on a bed or sofa in an exhausted manner.
ドサ,どさ,dosa,*flump* *flomp**thud* *fwump*,Usually used when a stack of clothes/paper is put down.See also *dosha*.
